Month,Price,Change

Jan 1995,8.90,-
Feb 1995,8.91,0.01%
Mar 1995,8.98,0.87%
Apr 1995,8.92,-0.74%
May 1995,8.92,0.01%
Jun 1995,8.91,-0.05%
Jul 1995,8.91,-0.07%
Aug 1995,8.97,0.67%
Sep 1995,9.44,5.29%
Oct 1995,9.81,3.90%
Nov 1995,9.86,0.54%
Dec 1995,9.92,0.61%
Jan 1996,10.73,8.15%
Feb 1996,10.98,2.36%
Mar 1996,10.33,-5.92%
Apr 1996,10.27,-0.60%
May 1996,10.50,2.19%
Jun 1996,10.50,0.00%
Jul 1996,10.66,1.53%
Aug 1996,10.71,0.47%
Sep 1996,10.72,0.11%
Oct 1996,10.69,-0.25%
Nov 1996,10.72,0.26%
Dec 1996,10.75,0.29%
Jan 1997,10.82,0.60%
Feb 1997,10.82,0.04%
Mar 1997,10.81,-0.05%
Apr 1997,10.80,-0.14%
May 1997,10.80,-0.01%
Jun 1997,10.80,-0.02%
Jul 1997,10.77,-0.21%
Aug 1997,10.83,0.53%
Sep 1997,10.98,1.36%
Oct 1997,10.92,-0.51%
Nov 1997,11.20,2.55%
Dec 1997,11.83,5.57%
Jan 1998,12.20,3.18%
Feb 1998,12.06,-1.13%
Mar 1998,12.25,1.52%
Apr 1998,12.29,0.38%
May 1998,12.52,1.81%
Jun 1998,13.10,4.65%
Jul 1998,13.18,0.62%
Aug 1998,13.25,0.54%
Sep 1998,13.18,-0.51%
Oct 1998,13.13,-0.41%
Nov 1998,13.14,0.08%
Dec 1998,13.19,0.42%
Jan 1999,11.73,-11.10%
Feb 1999,11.72,-0.09%
Mar 1999,11.71,-0.08%
Apr 1999,11.79,0.68%
May 1999,11.80,0.10%
Jun 1999,11.90,0.86%
Jul 1999,11.94,0.35%
Aug 1999,11.99,0.40%
Sep 1999,12.01,0.18%
Oct 1999,11.99,-0.19%
Nov 1999,11.97,-0.13%
Dec 1999,12.00,0.20%
Jan 2000,12.54,4.51%
Feb 2000,12.56,0.14%
Mar 2000,12.55,-0.06%
Apr 2000,12.56,0.12%
May 2000,12.66,0.76%
Jun 2000,12.87,1.64%
Jul 2000,12.89,0.19%
Aug 2000,13.15,2.04%
Sep 2000,13.21,0.43%
Oct 2000,13.35,1.01%
Nov 2000,13.47,0.92%
Dec 2000,13.46,-0.07%
Jan 2001,13.98,3.84%
Feb 2001,13.97,-0.05%
Mar 2001,14.00,0.22%
Apr 2001,14.05,0.35%
May 2001,14.09,0.28%
Jun 2001,14.12,0.19%
Jul 2001,14.16,0.29%
Aug 2001,14.15,-0.03%
Sep 2001,14.31,1.10%
Oct 2001,14.42,0.79%
Nov 2001,14.41,-0.05%
Dec 2001,14.39,-0.17%
Jan 2002,14.17,-1.54%
Feb 2002,14.27,0.74%
Mar 2002,14.29,0.10%
Apr 2002,14.34,0.37%
May 2002,14.36,0.16%
Jun 2002,14.35,-0.08%
Jul 2002,14.29,-0.40%
Aug 2002,14.24,-0.36%
Sep 2002,14.20,-0.31%
Oct 2002,14.18,-0.15%
Nov 2002,14.14,-0.24%
Dec 2002,14.11,-0.24%
Jan 2003,15.31,8.54%
Feb 2003,15.25,-0.41%
Mar 2003,15.22,-0.20%
Apr 2003,15.14,-0.55%
May 2003,15.04,-0.62%
Jun 2003,14.93,-0.77%
Jul 2003,14.77,-1.04%
Aug 2003,14.68,-0.65%
Sep 2003,14.65,-0.19%
Oct 2003,14.50,-1.00%
Nov 2003,14.54,0.29%
Dec 2003,14.57,0.16%
Jan 2004,17.23,18.25%
Feb 2004,17.16,-0.39%
Mar 2004,17.06,-0.57%
Apr 2004,16.65,-2.40%
May 2004,17.15,2.98%
Jun 2004,17.25,0.61%
Jul 2004,17.45,1.16%
Aug 2004,17.56,0.65%
Sep 2004,17.47,-0.53%
Oct 2004,17.35,-0.68%
Nov 2004,17.10,-1.47%
Dec 2004,16.67,-2.51%
Jan 2005,28.44,70.63%
Feb 2005,28.39,-0.18%
Mar 2005,28.40,0.03%
Apr 2005,28.43,0.12%
May 2005,28.27,-0.57%
Jun 2005,28.33,0.22%
Jul 2005,28.30,-0.11%
Aug 2005,28.36,0.20%
Sep 2005,28.55,0.67%
Oct 2005,29.13,2.06%
Nov 2005,29.72,2.02%
Dec 2005,29.68,-0.15%
Jan 2006,29.84,0.53%
Feb 2006,28.90,-3.12%
Mar 2006,29.67,2.63%
Apr 2006,30.25,1.97%
May 2006,30.56,1.02%
Jun 2006,31.92,4.44%
Jul 2006,32.75,2.62%
Aug 2006,32.48,-0.82%
Sep 2006,32.28,-0.61%
Oct 2006,32.60,0.98%
Nov 2006,32.97,1.13%
Dec 2006,32.81,-0.50%
Jan 2007,34.67,5.69%
Feb 2007,36.50,5.28%
Mar 2007,38.98,6.79%
Apr 2007,38.47,-1.33%
May 2007,41.62,8.19%
Jun 2007,42.07,1.09%
Jul 2007,42.88,1.92%
Aug 2007,49.75,16.03%
Sep 2007,59.97,20.53%
Oct 2007,66.43,10.77%
Nov 2007,76.94,15.83%
Dec 2007,74.98,-2.55%
Jan 2008,76.14,1.54%
Feb 2008,73.94,-2.88%
Mar 2008,79.55,7.58%
Apr 2008,78.44,-1.40%
May 2008,81.28,3.62%
Jun 2008,78.76,-3.10%
Jul 2008,77.32,-1.83%
Aug 2008,76.75,-0.74%
Sep 2008,63.63,-17.10%
Oct 2008,43.13,-32.21%
Nov 2008,31.83,-26.21%
Dec 2008,34.04,6.95%
Jan 2009,35.41,4.04%
Feb 2009,37.21,5.06%
Mar 2009,32.85,-11.71%
Apr 2009,29.93,-8.88%
May 2009,30.43,1.65%
Jun 2009,34.23,12.52%
Jul 2009,40.72,18.95%
Aug 2009,47.19,15.89%
Sep 2009,39.10,-17.16%
Oct 2009,40.55,3.72%
Nov 2009,46.22,14.00%
Dec 2009,48.99,5.99%
Jan 2010,57.74,17.85%
Feb 2010,59.06,2.29%
Mar 2010,63.56,7.61%
Apr 2010,76.75,20.76%
May 2010,73.85,-3.77%
Jun 2010,66.88,-9.44%
Jul 2010,59.23,-11.44%
Aug 2010,67.68,14.27%
Sep 2010,64.74,-4.34%
Oct 2010,65.95,1.87%
Nov 2010,70.05,6.22%
Dec 2010,73.67,5.16%
Jan 2011,81.32,10.38%
Feb 2011,85.08,4.63%
Mar 2011,76.19,-10.45%
Apr 2011,79.60,4.47%
May 2011,79.49,-0.14%
Jun 2011,76.64,-3.58%
Jul 2011,76.83,0.24%
Aug 2011,80.37,4.61%
Sep 2011,84.59,5.25%
Oct 2011,74.07,-12.43%
Nov 2011,68.71,-7.24%
Dec 2011,71.80,4.50%
Jan 2012,71.85,0.08%
Feb 2012,69.03,-3.93%
Mar 2012,72.80,5.46%
Apr 2012,76.48,5.06%
May 2012,74.23,-2.95%
Jun 2012,75.45,1.64%
Jul 2012,71.04,-5.84%
Aug 2012,59.73,-15.93%
Sep 2012,54.27,-9.14%
Oct 2012,60.35,11.20%
Nov 2012,65.86,9.13%
Dec 2012,70.19,6.58%
Jan 2013,81.74,16.45%
Feb 2013,83.11,1.68%
Mar 2013,76.07,-8.47%
Apr 2013,74.71,-1.80%
May 2013,68.25,-8.65%
Jun 2013,66.97,-1.87%
Jul 2013,76.03,13.53%
Aug 2013,86.63,13.94%
Sep 2013,85.46,-1.35%
Oct 2013,81.70,-4.40%
Nov 2013,85.48,4.63%
Dec 2013,84.12,-1.60%
Jan 2014,79.61,-5.36%
Feb 2014,75.59,-5.04%
Mar 2014,68.18,-9.81%
Apr 2014,69.16,1.43%
May 2014,59.68,-13.71%
Jun 2014,55.38,-7.20%
Jul 2014,57.69,4.18%
Aug 2014,56.40,-2.25%
Sep 2014,50.16,-11.06%
Oct 2014,49.73,-0.85%
Nov 2014,45.47,-8.55%
Dec 2014,42.89,-5.69%
Jan 2015,42.39,-1.15%
Feb 2015,38.92,-8.19%
Mar 2015,36.25,-6.86%
Apr 2015,32.81,-9.50%
May 2015,38.48,17.28%
Jun 2015,40.00,3.95%
Jul 2015,33.34,-16.63%
Aug 2015,36.56,9.66%
