Month,Price,Change

Jan 1995,"8,684.19",-
Feb 1995,"8,801.50",1.35%
Mar 1995,"9,059.69",2.93%
Apr 1995,"8,843.04",-2.39%
May 1995,"9,142.08",3.38%
Jun 1995,"10,236.99",11.98%
Jul 1995,"10,844.43",5.93%
Aug 1995,"10,724.80",-1.10%
Sep 1995,"11,966.18",11.57%
Oct 1995,"13,223.04",10.50%
Nov 1995,"11,831.40",-10.52%
Dec 1995,"11,938.67",0.91%
Jan 1996,"13,204.88",10.61%
Feb 1996,"13,472.87",2.03%
Mar 1996,"12,383.06",-8.09%
Apr 1996,"11,203.16",-9.53%
May 1996,"11,625.59",3.77%
Jun 1996,"11,948.91",2.78%
Jul 1996,"12,718.11",6.44%
Aug 1996,"11,974.63",-5.85%
Sep 1996,"11,734.06",-2.01%
Oct 1996,"11,147.19",-5.00%
Nov 1996,"11,256.94",0.98%
Dec 1996,"11,439.60",1.62%
Jan 1997,"12,770.57",11.63%
Feb 1997,"12,453.31",-2.48%
Mar 1997,"11,600.19",-6.85%
Apr 1997,"10,906.90",-5.98%
May 1997,"11,622.26",6.56%
Jun 1997,"11,573.95",-0.42%
Jul 1997,"11,435.55",-1.20%
Aug 1997,"10,238.91",-10.46%
Sep 1997,"9,853.96",-3.76%
Oct 1997,"9,628.00",-2.29%
Nov 1997,"9,381.04",-2.57%
Dec 1997,"10,576.84",12.75%
Jan 1998,"11,334.96",7.17%
Feb 1998,"11,566.89",2.05%
Mar 1998,"11,693.21",1.09%
Apr 1998,"12,352.31",5.64%
May 1998,"12,848.36",4.02%
Jun 1998,"13,751.63",7.03%
Jul 1998,"13,784.01",0.24%
Aug 1998,"13,736.48",-0.34%
Sep 1998,"13,659.84",-0.56%
Oct 1998,"12,650.57",-7.39%
Nov 1998,"11,441.83",-9.55%
Dec 1998,"11,819.40",3.30%
Jan 1999,"12,741.77",7.80%
Feb 1999,"11,891.75",-6.67%
Mar 1999,"10,872.27",-8.57%
Apr 1999,"10,062.00",-7.45%
May 1999,"10,446.80",3.82%
Jun 1999,"10,948.24",4.80%
Jul 1999,"11,211.17",2.40%
Aug 1999,"10,626.19",-5.22%
Sep 1999,"9,981.13",-6.07%
Oct 1999,"9,429.56",-5.53%
Nov 1999,"9,894.72",4.93%
Dec 1999,"10,164.57",2.73%
Jan 2000,"10,513.43",3.43%
Feb 2000,"10,510.70",-0.03%
Mar 2000,"9,840.12",-6.38%
Apr 2000,"9,371.48",-4.76%
May 2000,"8,732.53",-6.82%
Jun 2000,"8,759.43",0.31%
Jul 2000,"8,463.06",-3.38%
Aug 2000,"8,521.52",0.69%
Sep 2000,"8,214.13",-3.61%
Oct 2000,"8,691.34",5.81%
Nov 2000,"8,654.72",-0.42%
Dec 2000,"8,613.79",-0.47%
Jan 2001,"8,581.98",-0.37%
Feb 2001,"8,582.74",0.01%
Mar 2001,"8,158.59",-4.94%
Apr 2001,"7,661.19",-6.10%
May 2001,"7,709.92",0.64%
Jun 2001,"7,896.88",2.43%
Jul 2001,"7,985.82",1.13%
Aug 2001,"7,929.00",-0.71%
Sep 2001,"8,242.76",3.96%
Oct 2001,"8,192.29",-0.61%
Nov 2001,"8,327.54",1.65%
Dec 2001,"8,592.97",3.19%
Jan 2002,"9,268.37",7.86%
Feb 2002,"9,510.91",2.62%
Mar 2002,"9,211.76",-3.15%
Apr 2002,"9,304.49",1.01%
May 2002,"9,677.50",4.01%
Jun 2002,"9,922.95",2.54%
Jul 2002,"9,733.28",-1.91%
Aug 2002,"9,248.23",-4.98%
Sep 2002,"9,039.11",-2.26%
Oct 2002,"9,008.81",-0.34%
Nov 2002,"9,011.67",0.03%
Dec 2002,"8,977.64",-0.38%
Jan 2003,"9,621.95",7.18%
Feb 2003,"9,487.49",-1.40%
Mar 2003,"9,385.29",-1.08%
Apr 2003,"9,238.61",-1.56%
May 2003,"9,322.47",0.91%
Jun 2003,"9,503.05",1.94%
Jul 2003,"9,177.56",-3.43%
Aug 2003,"8,957.42",-2.40%
Sep 2003,"9,060.05",1.15%
Oct 2003,"8,885.18",-1.93%
Nov 2003,"8,803.57",-0.92%
Dec 2003,"9,038.41",2.67%
Jan 2004,"9,669.27",6.98%
Feb 2004,"9,654.18",-0.16%
Mar 2004,"10,704.51",10.88%
Apr 2004,"10,576.95",-1.19%
May 2004,"10,496.17",-0.76%
Jun 2004,"10,423.14",-0.70%
Jul 2004,"10,624.57",1.93%
Aug 2004,"11,075.83",4.25%
Sep 2004,"10,844.58",-2.09%
Oct 2004,"11,171.22",3.01%
Nov 2004,"11,693.09",4.67%
Dec 2004,"12,237.56",4.66%
Jan 2005,"12,558.21",2.62%
Feb 2005,"12,666.33",0.86%
Mar 2005,"12,790.25",0.98%
Apr 2005,"13,002.06",1.66%
May 2005,"12,777.78",-1.72%
Jun 2005,"12,421.98",-2.78%
Jul 2005,"12,048.97",-3.00%
Aug 2005,"12,337.41",2.39%
Sep 2005,"12,527.18",1.54%
Oct 2005,"12,837.16",2.47%
Nov 2005,"12,700.43",-1.07%
Dec 2005,"12,807.10",0.84%
Jan 2006,"12,931.06",0.97%
Feb 2006,"13,365.81",3.36%
Mar 2006,"13,498.31",0.99%
Apr 2006,"13,585.96",0.65%
May 2006,"13,986.00",2.94%
Jun 2006,"14,392.33",2.91%
Jul 2006,"14,652.28",1.81%
Aug 2006,"14,551.38",-0.69%
Sep 2006,"14,260.60",-2.00%
Oct 2006,"13,686.00",-4.03%
Nov 2006,"13,288.89",-2.90%
Dec 2006,"13,613.52",2.44%
Jan 2007,"13,878.25",1.94%
Feb 2007,"13,911.14",0.24%
Mar 2007,"14,029.61",0.85%
Apr 2007,"13,340.81",-4.91%
May 2007,"12,955.54",-2.89%
Jun 2007,"13,176.32",1.70%
Jul 2007,"13,288.90",0.85%
Aug 2007,"13,367.77",0.59%
Sep 2007,"13,110.50",-1.92%
Oct 2007,"13,007.74",-0.78%
Nov 2007,"13,488.48",3.70%
Dec 2007,"14,224.83",5.46%
Jan 2008,"14,788.40",3.96%
Feb 2008,"18,464.30",24.86%
Mar 2008,"23,971.86",29.83%
Apr 2008,"36,307.71",51.46%
May 2008,"37,988.78",4.63%
Jun 2008,"32,414.74",-14.67%
Jul 2008,"31,345.63",-3.30%
Aug 2008,"29,778.16",-5.00%
Sep 2008,"31,156.66",4.63%
Oct 2008,"29,635.27",-4.88%
Nov 2008,"27,049.84",-8.72%
Dec 2008,"25,867.77",-4.37%
Jan 2009,"28,327.20",9.51%
Feb 2009,"29,078.03",2.65%
Mar 2009,"30,159.58",3.72%
Apr 2009,"27,522.62",-8.74%
May 2009,"25,868.62",-6.01%
Jun 2009,"27,445.95",6.10%
Jul 2009,"27,746.42",1.09%
Aug 2009,"25,427.85",-8.36%
Sep 2009,"25,127.70",-1.18%
Oct 2009,"23,033.48",-8.33%
Nov 2009,"25,275.32",9.73%
Dec 2009,"27,558.33",9.03%
Jan 2010,"26,123.19",-5.21%
Feb 2010,"24,784.30",-5.13%
Mar 2010,"22,849.10",-7.81%
Apr 2010,"20,736.51",-9.25%
May 2010,"20,657.61",-0.38%
Jun 2010,"20,488.40",-0.82%
Jul 2010,"20,708.10",1.07%
Aug 2010,"21,082.98",1.81%
Sep 2010,"21,936.55",4.05%
Oct 2010,"21,586.90",-1.59%
Nov 2010,"23,089.25",6.96%
Dec 2010,"24,029.88",4.07%
Jan 2011,"23,454.56",-2.39%
Feb 2011,"23,818.42",1.55%
Mar 2011,"22,168.60",-6.93%
Apr 2011,"21,493.78",-3.04%
May 2011,"21,612.45",0.55%
Jun 2011,"23,042.62",6.62%
Jul 2011,"23,906.52",3.75%
Aug 2011,"25,627.63",7.20%
Sep 2011,"28,577.08",11.51%
Oct 2011,"29,514.46",3.28%
Nov 2011,"31,187.37",5.67%
Dec 2011,"30,834.19",-1.13%
Jan 2012,"27,765.23",-9.95%
Feb 2012,"26,425.48",-4.83%
Mar 2012,"27,577.00",4.36%
Apr 2012,"28,375.28",2.89%
May 2012,"32,629.37",14.99%
Jun 2012,"33,618.00",3.03%
Jul 2012,"31,858.33",-5.23%
Aug 2012,"31,543.92",-0.99%
Sep 2012,"30,730.08",-2.58%
Oct 2012,"29,564.02",-3.79%
Nov 2012,"30,602.11",3.51%
Dec 2012,"30,464.95",-0.45%
Jan 2013,"30,643.51",0.59%
Feb 2013,"30,257.53",-1.26%
Mar 2013,"30,402.80",0.48%
Apr 2013,"30,287.27",-0.38%
May 2013,"29,910.63",-1.24%
Jun 2013,"30,578.75",2.23%
Jul 2013,"30,427.73",-0.49%
Aug 2013,"30,261.23",-0.55%
Sep 2013,"28,277.99",-6.55%
Oct 2013,"27,056.08",-4.32%
Nov 2013,"27,466.36",1.52%
Dec 2013,"27,938.56",1.72%
Jan 2014,"27,960.82",0.08%
Feb 2014,"28,588.55",2.25%
Mar 2014,"25,728.06",-10.01%
Apr 2014,"23,840.87",-7.34%
May 2014,"23,025.00",-3.42%
Jun 2014,"23,705.89",2.96%
Jul 2014,"25,346.90",6.92%
Aug 2014,"27,098.35",6.91%
Sep 2014,"26,301.70",-2.94%
Oct 2014,"26,256.96",-0.17%
Nov 2014,"25,781.11",-1.81%
Dec 2014,"26,213.17",1.68%
Jan 2015,"26,096.85",-0.44%
Feb 2015,"26,051.73",-0.17%
Mar 2015,"25,604.43",-1.72%
Apr 2015,"25,038.51",-2.21%
May 2015,"24,311.68",-2.90%
Jun 2015,"24,011.64",-1.23%
Jul 2015,"24,949.16",3.90%
Aug 2015,"24,271.98",-2.71%
Sep 2015,"23,638.75",-2.61%
Oct 2015,"24,273.15",2.68%
Nov 2015,"24,306.55",0.14%
Dec 2015,"24,174.17",-0.54%
Jan 2016,"24,831.25",2.72%
Feb 2016,"26,205.34",5.53%
Mar 2016,"25,750.31",-1.74%
Apr 2016,"26,255.46",1.96%
May 2016,"28,961.69",10.31%
Jun 2016,"29,671.20",2.45%
Jul 2016,"29,709.82",0.13%
Aug 2016,"27,779.09",-6.50%
Sep 2016,"25,628.87",-7.74%
Oct 2016,"24,633.42",-3.88%
Nov 2016,"24,647.50",0.06%
Dec 2016,"25,326.29",2.75%
Jan 2017,"25,676.56",1.38%
Feb 2017,"24,626.70",-4.09%
Mar 2017,"24,388.67",-0.97%
Apr 2017,"24,515.25",0.52%
May 2017,"27,120.09",10.63%
Jun 2017,"29,511.71",8.82%
Jul 2017,"26,871.64",-8.95%
Aug 2017,"25,138.60",-6.45%
Sep 2017,"25,913.18",3.08%
Oct 2017,"25,643.90",-1.04%
Nov 2017,"26,078.74",1.70%
Dec 2017,"26,082.38",0.01%
Jan 2018,"28,130.78",7.85%
Feb 2018,"27,358.88",-2.74%
Mar 2018,"27,954.52",2.18%
Apr 2018,"29,613.84",5.94%
May 2018,"30,462.32",2.87%
Jun 2018,"28,947.64",-4.97%
Jul 2018,"27,343.03",-5.54%
Aug 2018,"28,161.58",2.99%
Sep 2018,"29,281.63",3.98%
Oct 2018,"30,109.66",2.83%
Nov 2018,"28,801.52",-4.34%
Dec 2018,"28,615.95",-0.64%
Jan 2019,"29,007.79",1.37%
Feb 2019,"29,052.84",0.16%
Mar 2019,"28,208.33",-2.91%
Apr 2019,"28,673.52",1.65%
May 2019,"28,543.84",-0.45%
Jun 2019,"29,164.32",2.17%
Jul 2019,"28,623.50",-1.85%
Aug 2019,"30,592.65",6.88%
Sep 2019,"30,459.47",-0.44%
Oct 2019,"30,126.00",-1.09%
Nov 2019,"30,071.64",-0.18%
Dec 2019,"30,753.28",2.27%
Jan 2020,"32,168.65",4.60%
