Month,Price,Change

Jan 1995,"4,466.96",-
Feb 1995,"4,628.24",3.61%
Mar 1995,"4,668.31",0.87%
Apr 1995,"4,633.57",-0.74%
May 1995,"4,633.87",0.01%
Jun 1995,"4,631.77",-0.05%
Jul 1995,"4,628.34",-0.07%
Aug 1995,"4,659.53",0.67%
Sep 1995,"4,906.22",5.29%
Oct 1995,"5,184.15",5.66%
Nov 1995,"5,583.87",7.71%
Dec 1995,"5,680.92",1.74%
Jan 1996,"5,812.01",2.31%
Feb 1996,"6,190.93",6.52%
Mar 1996,"5,976.25",-3.47%
Apr 1996,"5,940.55",-0.60%
May 1996,"6,070.85",2.19%
Jun 1996,"6,110.21",0.65%
Jul 1996,"6,239.34",2.11%
Aug 1996,"6,374.57",2.17%
Sep 1996,"6,485.18",1.74%
Oct 1996,"6,504.76",0.30%
Nov 1996,"6,521.88",0.26%
Dec 1996,"6,540.50",0.29%
Jan 1997,"6,525.19",-0.23%
Feb 1997,"6,495.82",-0.45%
Mar 1997,"6,492.38",-0.05%
Apr 1997,"6,362.54",-2.00%
May 1997,"6,088.71",-4.30%
Jun 1997,"6,087.78",-0.02%
Jul 1997,"6,010.81",-1.26%
Aug 1997,"5,873.90",-2.28%
Sep 1997,"5,953.89",1.36%
Oct 1997,"5,952.51",-0.02%
Nov 1997,"6,292.91",5.72%
Dec 1997,"6,765.70",7.51%
Jan 1998,"6,789.17",0.35%
Feb 1998,"6,712.49",-1.13%
Mar 1998,"6,814.46",1.52%
Apr 1998,"6,887.95",1.08%
May 1998,"7,119.18",3.36%
Jun 1998,"7,498.97",5.33%
Jul 1998,"7,545.60",0.62%
Aug 1998,"7,479.42",-0.88%
Sep 1998,"7,334.86",-1.93%
Oct 1998,"7,264.29",-0.96%
Nov 1998,"7,098.17",-2.29%
Dec 1998,"7,127.81",0.42%
Jan 1999,"7,072.48",-0.78%
Feb 1999,"6,922.70",-2.12%
Mar 1999,"6,917.18",-0.08%
Apr 1999,"6,964.36",0.68%
May 1999,"6,971.67",0.10%
Jun 1999,"6,977.45",0.08%
Jul 1999,"6,660.91",-4.54%
Aug 1999,"6,573.46",-1.31%
Sep 1999,"6,421.88",-2.31%
Oct 1999,"6,306.51",-1.80%
Nov 1999,"5,988.91",-5.04%
Dec 1999,"6,000.90",0.20%
Jan 2000,"6,010.16",0.15%
Feb 2000,"6,018.57",0.14%
Mar 2000,"6,015.22",-0.06%
Apr 2000,"6,022.18",0.12%
May 2000,"6,067.92",0.76%
Jun 2000,"6,167.35",1.64%
Jul 2000,"6,280.13",1.83%
Aug 2000,"6,511.08",3.68%
Sep 2000,"6,539.18",0.43%
Oct 2000,"6,547.48",0.13%
Nov 2000,"6,034.91",-7.83%
Dec 2000,"6,030.82",-0.07%
Jan 2001,"6,003.66",-0.45%
Feb 2001,"6,000.94",-0.05%
Mar 2001,"6,014.04",0.22%
Apr 2001,"6,035.38",0.35%
May 2001,"5,888.12",-2.44%
Jun 2001,"5,758.15",-2.21%
Jul 2001,"5,833.80",1.31%
Aug 2001,"5,890.79",0.98%
Sep 2001,"5,926.21",0.60%
Oct 2001,"5,972.79",0.79%
Nov 2001,"6,239.66",4.47%
Dec 2001,"6,277.14",0.60%
Jan 2002,"6,331.98",0.87%
Feb 2002,"6,719.43",6.12%
Mar 2002,"6,726.04",0.10%
Apr 2002,"6,457.37",-3.99%
May 2002,"6,668.90",3.28%
Jun 2002,"6,310.11",-5.38%
Jul 2002,"6,211.55",-1.56%
Aug 2002,"6,477.11",4.28%
Sep 2002,"6,563.77",1.34%
Oct 2002,"6,437.97",-1.92%
Nov 2002,"6,369.70",-1.06%
Dec 2002,"6,330.08",-0.62%
Jan 2003,"6,163.80",-2.63%
Feb 2003,"6,492.07",5.33%
Mar 2003,"6,848.40",5.49%
Apr 2003,"6,869.74",0.31%
May 2003,"6,874.14",0.06%
Jun 2003,"6,926.39",0.76%
Jul 2003,"6,976.79",0.73%
Aug 2003,"6,890.33",-1.24%
Sep 2003,"7,044.01",2.23%
Oct 2003,"7,444.04",5.68%
Nov 2003,"7,419.76",-0.33%
Dec 2003,"7,425.85",0.08%
Jan 2004,"7,800.41",5.04%
Feb 2004,"8,018.97",2.80%
Mar 2004,"7,990.12",-0.36%
Apr 2004,"7,798.17",-2.40%
May 2004,"8,030.47",2.98%
Jun 2004,"8,079.07",0.61%
Jul 2004,"8,817.36",9.14%
Aug 2004,"9,036.77",2.49%
Sep 2004,"8,989.13",-0.53%
Oct 2004,"8,927.82",-0.68%
Nov 2004,"8,954.78",0.30%
Dec 2004,"8,884.05",-0.79%
